Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
107000,1.3980079,0.0002960063,0.0073942426,8.2579805e-05,0.024142103,0.0,0.0,1477.0
108000,1.3977593,0.00029596878,0.00021973545,None,None,0.0,0.0,1477.0
109000,1.3978645,0.00029593127,0.0057879887,6.236144e-05,0.027932733,0.0,0.0,1477.0
110000,1.3980542,0.00029589378,0.00824599,6.720595e-05,0.022882473,0.0,0.0,1477.0
111000,1.3981498,0.0002958563,0.0048071383,6.509341e-05,0.022052338,0.0,0.0,1477.0
112000,1.3982747,0.00029581878,0.0008220703,4.2635438e-05,0.02705125,0.0,0.0,1477.0
113000,1.3983829,0.0002957813,0.0018058411,3.7275695e-05,0.019857576,0.0,0.0,1477.0
114000,1.3981193,0.00029574375,0.00036781165,3.1156625e-05,0.02115348,0.0,0.0,1477.0
115000,1.3970122,0.00029570627,0.0023491345,3.1806405e-05,0.02264076,0.0,0.0,1477.0
116000,1.3961085,0.00029566878,0.002816173,None,None,0.0,0.0,1477.0
117000,1.3954607,0.0002956313,0.0013459399,2.6161939e-05,0.024222076,0.0,0.0,1477.0
118000,1.3950541,0.0002955938,0.000691068,2.6758098e-05,0.019116528,0.0,0.0,1477.0
119000,1.3944763,0.00029555627,0.0030723053,2.2988417e-05,0.025586719,0.0,0.0,1477.0
120000,1.3939449,0.00029551878,0.0039459104,2.3637056e-05,0.021360306,0.0,0.0,1477.0
121000,1.3935325,0.0002954813,0.001796913,2.241693e-05,0.018925512,0.0,0.0,1477.0
122000,1.3932561,0.00029544378,0.0012489116,1.6350354e-05,0.024581889,0.0,0.0,1477.0
123000,1.3931943,0.0002954063,0.0018853436,1.775686e-05,0.025225023,0.0,0.0,1477.0
124000,1.3925922,0.00029536878,0.0034779184,None,None,0.0,0.0,1477.0
125000,1.3922436,0.0002953313,0.00092695537,1.59909e-05,0.023088869,0.0,0.0,1477.0
126000,1.391843,0.00029529378,-0.00044389762,1.3257938e-05,0.01887822,0.0,0.0,1477.0
127000,1.3921185,0.0002952563,-0.000496273,1.4990988e-05,0.023417037,0.0,0.0,1477.0
128000,1.3924115,0.0002952188,-0.00031059314,1.30844555e-05,0.025428534,0.0,0.0,1477.0
129000,1.3924633,0.00029518126,0.0004183332,1.3492788e-05,0.026705364,0.0,0.0,1477.0
